"","ETH.group","tot_births","mbirths","fbirths","year"
"247","OAS",20099.8752209903,10295.0580400194,9804.81718097087,"2031"
"248","OBL",5980.44909888188,3063.15685552487,2917.29224335702,"2031"
"249","OTH",7221.86092396468,3699.00193666483,3522.85898729984,"2031"
"250","PAK",50417.1069903081,25823.3962633285,24593.7107269796,"2031"
"251","WBI",472017.578020054,241765.100937101,230252.477082953,"2031"
"252","WHO",41649.5994717545,21332.7216806547,20316.8777910997,"2031"
"253","BAN",18867.9168037074,9664.0549482404,9203.86185546705,"2032"
"254","BLA",33509.0068510585,17163.1498505422,16345.8570005164,"2032"
"255","BLC",6723.89845657905,3443.94798995512,3279.95046662393,"2032"
"256","CHI",8053.72740806568,4125.07989193608,3928.6475161296,"2032"
"257","IND",33083.0560849896,16944.9799459703,16138.0761390193,"2032"
"258","MIX",51306.7418228343,26279.0628848664,25027.678937968,"2032"
"259","OAS",20359.3583036275,10427.9640091751,9931.39429445244,"2032"
"260","OBL",6055.47591831957,3101.58522645636,2953.8906918632,"2032"
"261","OTH",7278.03837731249,3727.77575423323,3550.26262307926,"2032"
"262","PAK",51501.949970563,26379.0475458981,25122.9024246649,"2032"
"263","WBI",472005.959793085,241759.150137922,230246.809655164,"2032"
"264","WHO",41877.3233348905,21449.3607325049,20427.9626023856,"2032"
"265","BAN",19128.8282255859,9797.69250578789,9331.13571979799,"2033"
"266","BLA",33945.4177590267,17386.6773887698,16558.7403702569,"2033"
"267","BLC",6741.208829943,3452.81427875129,3288.3945511917,"2033"
"268","CHI",7959.49958678626,4076.81686152467,3882.68272526159,"2033"
"269","IND",33504.4905477954,17160.8366220416,16343.6539257539,"2033"
"270","MIX",51857.826690628,26561.3258659314,25296.5008246966,"2033"
"271","OAS",20597.8765581748,10550.1318956505,10047.7446625243,"2033"
"272","OBL",6111.7346612394,3130.40068014701,2981.33398109239,"2033"
"273","OTH",7311.52084311721,3744.9253098893,3566.59553322791,"2033"
"274","PAK",52598.3049837361,26940.5952355722,25657.709748164,"2033"
"275","WBI",472054.044989632,241783.779141031,230270.265848601,"2033"
"276","WHO",42064.1764915768,21545.0660078808,20519.110483696,"2033"
"277","BAN",19376.8578352221,9924.73206194303,9452.12577327908,"2034"
"278","BLA",34333.7233802982,17585.5656338113,16748.1577464869,"2034"
"279","BLC",6754.17196630405,3459.45393396061,3294.71803234344,"2034"
"280","CHI",7866.23966824789,4029.04958617575,3837.19008207214,"2034"
"281","IND",33941.0752697462,17384.4531869432,16556.622082803,"2034"
"282","MIX",52346.2467465013,26811.4922360128,25534.7545104884,"2034"
"283","OAS",20813.024510221,10660.3296271864,10152.6948830346,"2034"
"284","OBL",6149.2841008748,3149.63331996026,2999.65078091454,"2034"
"285","OTH",7321.22900869764,3749.8977849427,3571.33122375495,"2034"
"286","PAK",53698.8671371325,27504.2978019459,26194.5693351866,"2034"
"287","WBI",472078.129028043,241796.114868022,230282.014160021,"2034"
"288","WHO",42213.1323465928,21621.3604702061,20591.7718763867,"2034"
"289","BAN",19616.6250509237,10047.5396602292,9569.0853906945,"2035"
"290","BLA",34679.9954923137,17762.9245204534,16917.0709718604,"2035"
"291","BLC",6764.11799992182,3464.54824386239,3299.56975605942,"2035"
"292","CHI",7775.95216700506,3982.80476846601,3793.14739853905,"2035"
