"","ETH.group","agegrp","sex","deaths","year"
"377","OTH","[100,105)","F",3.35504673322376,"2011"
"378","OTH","[100,105)","M",5.83804878064362,"2011"
"379","PAK","[0,5)","F",35.9477990893538,"2011"
"380","PAK","[0,5)","M",42.6694839063875,"2011"
"381","PAK","[5,10)","F",6.80369135275034,"2011"
"382","PAK","[5,10)","M",7.9296767697325,"2011"
"383","PAK","[10,15)","F",6.01667420204403,"2011"
"384","PAK","[10,15)","M",6.13310822400599,"2011"
"385","PAK","[15,20)","F",6.89102477810292,"2011"
"386","PAK","[15,20)","M",17.1497848747631,"2011"
"387","PAK","[20,25)","F",8.97179011378709,"2011"
"388","PAK","[20,25)","M",23.2073914542915,"2011"
"389","PAK","[25,30)","F",16.7084068015017,"2011"
"390","PAK","[25,30)","M",31.9803032087973,"2011"
"391","PAK","[30,35)","F",24.9061591887935,"2011"
"392","PAK","[30,35)","M",48.3486856747185,"2011"
"393","PAK","[35,40)","F",29.1477588082871,"2011"
"394","PAK","[35,40)","M",61.3667372779939,"2011"
"395","PAK","[40,45)","F",40.0499308211996,"2011"
"396","PAK","[40,45)","M",74.7725265938477,"2011"
"397","PAK","[45,50)","F",43.1743821244003,"2011"
"398","PAK","[45,50)","M",73.669434687862,"2011"
"399","PAK","[50,55)","F",70.4296429196395,"2011"
"400","PAK","[50,55)","M",105.856831174935,"2011"
"401","PAK","[55,60)","F",82.754998243344,"2011"
"402","PAK","[55,60)","M",150.485415365059,"2011"
"403","PAK","[60,65)","F",85.8069773035722,"2011"
"404","PAK","[60,65)","M",115.788054368436,"2011"
"405","PAK","[65,70)","F",99.2144146726425,"2011"
"406","PAK","[65,70)","M",143.945186210992,"2011"
"407","PAK","[70,75)","F",143.419550614513,"2011"
"408","PAK","[70,75)","M",261.490037493461,"2011"
"409","PAK","[75,80)","F",183.145591477239,"2011"
"410","PAK","[75,80)","M",281.090386974221,"2011"
"411","PAK","[80,85)","F",163.163506090609,"2011"
"412","PAK","[80,85)","M",220.860885992207,"2011"
"413","PAK","[85,90)","F",89.333251712963,"2011"
"414","PAK","[85,90)","M",128.206523671054,"2011"
"415","PAK","[90,95)","F",55.9501585771389,"2011"
"416","PAK","[90,95)","M",49.1997423575022,"2011"
"417","PAK","[95,100)","F",28.9807692629542,"2011"
"418","PAK","[95,100)","M",18.2774977623475,"2011"
"419","PAK","[100,105)","F",19.1381543785704,"2011"
"420","PAK","[100,105)","M",6.19135350869886,"2011"
"421","WBI","[0,5)","F",437.045110510663,"2011"
"422","WBI","[0,5)","M",559.937984430149,"2011"
"423","WBI","[5,10)","F",129.714103353953,"2011"
"424","WBI","[5,10)","M",140.499067479659,"2011"
"425","WBI","[10,15)","F",137.322677210738,"2011"
"426","WBI","[10,15)","M",180.998866892766,"2011"
"427","WBI","[15,20)","F",250.814755226459,"2011"
"428","WBI","[15,20)","M",486.79013687544,"2011"
"429","WBI","[20,25)","F",308.587941247792,"2011"
"430","WBI","[20,25)","M",732.645468462832,"2011"
"431","WBI","[25,30)","F",394.850855444322,"2011"
"432","WBI","[25,30)","M",829.120084272576,"2011"
"433","WBI","[30,35)","F",614.318874334508,"2011"
"434","WBI","[30,35)","M",1082.32388615219,"2011"
"435","WBI","[35,40)","F",916.780623404779,"2011"
